combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations
2vars_inflation_monetary_policy,2,1,cpi,0.5790942863392472,2.425057499760477,0.016708751318170068,356.0
2vars_inflation_monetary_policy,2,1,export_price_index,0.07698044514893577,2.6479658486239046,0.009121562910214598,356.0
2vars_inflation_monetary_policy,2,1,nat_fin_condition_indx,0.013880786391365368,2.953232021253907,0.003745979747794781,356.0
2vars_inflation_monetary_policy,2,1,vix,-0.03790677630107338,-6.988987096610347,1.3831469303227095e-10,356.0
2vars_inflation_monetary_policy,3,0,cpi,0.5783378566494175,2.108353604451488,0.037585841284987875,356.0
2vars_inflation_monetary_policy,3,0,export_price_index,0.07714801752548028,2.3126437300003397,0.022862729875412935,356.0
2vars_inflation_monetary_policy,3,0,nat_fin_condition_indx,0.013802012134182565,2.496592109159793,0.01423060048070024,356.0
2vars_inflation_monetary_policy,3,0,vix,-0.03794233214600833,-6.066518442491734,2.5415842319631565e-08,356.0
2vars_inflation_monetary_policy,3,1,export_price_index,0.07977932926812523,2.513222544890959,0.013496995572165105,356.0
2vars_inflation_monetary_policy,3,1,nat_fin_condition_indx,0.012863627770837197,2.0049121150754727,0.047569303418835585,356.0
2vars_inflation_monetary_policy,3,1,vix,-0.033181372292460036,-5.14652557464663,1.258167052542447e-06,356.0
2vars_inflation_monetary_policy,3,2,export_price_index,0.07719378028617022,2.500022610573585,0.013932654615074203,356.0
2vars_inflation_monetary_policy,3,2,nat_fin_condition_indx,0.01472904476882566,2.6027587541623824,0.010555768900887497,356.0
2vars_inflation_monetary_policy,3,2,vix,-0.03848938384483484,-6.471216438835914,2.9855211636231616e-09,356.0
2vars_inflation_monetary_policy,4,0,vix,-0.03318728601553725,-4.413971415571776,3.5362665718130515e-05,356.0
2vars_inflation_monetary_policy,4,1,nat_fin_condition_indx,0.014307346375387327,2.139874181179647,0.035553022015968105,356.0
2vars_inflation_monetary_policy,4,1,vix,-0.03856872089267305,-5.535863877949676,4.179697261630366e-07,356.0
2vars_inflation_monetary_policy,4,2,export_price_index,0.08432124200660887,2.279939425906506,0.025791904251270203,356.0
2vars_inflation_monetary_policy,4,2,vix,-0.03657745130462314,-4.501460705990544,2.7533300271498362e-05,356.0
2vars_inflation_monetary_policy,4,3,export_price_index,0.0766887252821763,2.0486736626210216,0.04389859691053344,356.0
2vars_inflation_monetary_policy,4,3,nat_fin_condition_indx,0.013877580466151269,2.2367652184302407,0.028192683295782395,356.0
2vars_inflation_monetary_policy,4,3,vix,-0.037967555544683514,-5.410194288011868,6.856932655008308e-07,356.0
2vars_inflation_monetary_policy,5,0,vix,-0.03631079304117759,-3.5310107826075265,0.001125112599062783,356.0
2vars_inflation_monetary_policy,5,1,vix,-0.038679228077344106,-5.028800318280545,4.4279700084359774e-06,356.0
