date,regime,regime_name,prob_R0,prob_R1,prob_R2,prob_R3
2016-03-01,2,Stagflation,0.04477787452006979,0.10178882119125021,0.5289148405380069,0.3245184637506731
2016-04-01,2,Stagflation,0.01791789002787497,0.06529837715719357,0.7589697530201317,0.15781397979479972
2016-05-01,3,Slowdown,0.07563544551833552,0.09872558153684884,0.3333482893232085,0.49229068362160716
2016-06-01,3,Slowdown,0.11255591159926001,0.1538642172834564,0.2972514464981886,0.4363284246190951
2016-07-01,3,Slowdown,0.3341624233929524,0.08414450601969407,0.12476184796533518,0.45693122262201835
2016-08-01,3,Slowdown,0.1794957613264798,0.15454769935276189,0.2147258195154423,0.451230719805316
2016-09-01,3,Slowdown,0.1135866213766413,0.1790643548362225,0.2983908496337135,0.4089581741534228
2016-10-01,3,Slowdown,0.08725267266257752,0.16101127413814564,0.3605190690403812,0.39121698415889566
2016-11-01,3,Slowdown,0.1600561930953008,0.06281432832160119,0.15099604350171128,0.6261334350813867
2016-12-01,3,Slowdown,0.09044026651604294,0.12078226956607595,0.3300294199637972,0.4587480439540839
2017-01-01,2,Stagflation,0.0310861790500286,0.18357433706004475,0.5730675022312588,0.2122719816586679
2017-02-01,3,Slowdown,0.10927639850404132,0.10038944856033172,0.2596409854671427,0.5306931674684842
2017-03-01,3,Slowdown,0.19715262718878918,0.04736647017742149,0.11827094119365993,0.6372099614401295
2017-04-01,3,Slowdown,0.10388940790870621,0.1538129955741259,0.3325077210527912,0.40978987546437684
2017-05-01,3,Slowdown,0.28386822679120516,0.05910230293484814,0.11934334677607539,0.5376861234978713
2017-06-01,3,Slowdown,0.2983090816710812,0.11654131052596889,0.157625184292766,0.42752442351018394
2017-07-01,0,Goldilocks,0.4406527495504603,0.09121885425618928,0.1155576694820108,0.3525707267113396
2017-08-01,1,Overheating,0.16726008841212814,0.43648945567856084,0.1430838602841629,0.2531665956251482
2017-09-01,1,Overheating,0.06178610488660827,0.6192149878936604,0.11570377270603163,0.20329513451369977
2017-10-01,0,Goldilocks,0.4856973104611215,0.20872265483426863,0.08177887385257522,0.22380116085203453
2017-11-01,0,Goldilocks,0.4293800103854039,0.22995144509877086,0.09850016661373198,0.24216837790209333
2017-12-01,0,Goldilocks,0.36624609027359534,0.22639946419122964,0.12451795094448055,0.28283649459069427
2018-01-01,1,Overheating,0.05667890735901084,0.5044462999422377,0.2201207733711068,0.2187540193276448
2018-02-01,3,Slowdown,0.1345330282539428,0.2751871448517283,0.25564671452802057,0.3346331123663083
